threshold,CDC42,HOG1,KSS1,STE11,FUS3,BNI1,BEM1,RHO1,PBS2,CDC24,CLA4,SHO1,STE7,PTP2,BEM2,RGA1,ACT1,RDI1,STE5,STE50,RSR1,PTP3,STE12,SSK1,SLT2,SSK2,SLN1,STE4,STE20,GPA1,SPA2,GIC2,GIC1,RHO3,BUD6,BOI2,BEM3,SPT15,TAF6,TAF10,TAF9,TAF5,TAF12,SKO1,YPD1,PTC5,PTC6,PTC7,FAR1
830,0.061185447359985864,0.0545378941781094,0.04883363136031758,0.04606211791504935,0.04897648227536267,0.05256726744936809,0.05152247786853034,0.04192618891467193,0.04235236031109689,0.04962483162204779,0.04765522494540898,0.03201358965310477,0.0358484477452421,0.030154742944717226,,0.03395369707161721,0.03154581739072203,0.03406343382640337,,0.0326002934926404,0.03493757779458704,,0.029112382075404643,,0.03044455498605066,,,,0.03206200682068491,0.028945379066509482,0.035744386578985585,0.03332976635338164,,,,,,,,,,,,,,,,,
831,0.06088249880437102,0.053962082785507216,0.049506575445284015,0.044758082758064796,0.04855005040197624,0.052120897252923515,0.0512760210060504,0.04176422902610524,0.04355596885391316,0.04943035479042834,0.04741961594738359,0.03298761730364473,0.03609588784894369,0.03092912984814997,,0.03381975924193818,0.031278573264460284,0.03392844631132048,,0.03323938379176512,0.034799879244798264,,0.029111351399794,,0.03099418310992501,,,,0.031932821964690224,0.028947464797270686,0.03551867661811613,0.033190448183175715,,,,,,,,,,,,,,,,,
832,0.06347536601719211,0.05208865151212126,0.047095543392934466,0.0433936903401607,0.04702397403822359,0.053669355923705954,0.05250134383114507,0.04422691835890933,0.04227038771943621,0.04871881605693656,0.04855391883724401,0.032004943517406445,0.034953665468221345,0.029958655817185004,,0.034555950829477995,0.03309768906145582,0.03508071462552326,,0.032253603907919606,0.03567281663358994,,0.028198528250795347,,0.029773613331718605,,,,0.03282234105352872,,0.03636075835658608,0.03398874546133421,,0.02826000765724837,,,,,,,,,,,,,,,
833,0.06360293481105231,0.05214648103762618,0.04729972254754668,0.04347871391720192,0.04723653354170978,0.05459208751669632,0.0533947981902228,0.043723218463098276,0.04121691696481169,0.04719463549461069,0.04934020662654192,0.0317166700741658,0.03517569782305781,0.029943707913178293,,0.03517984883487744,0.03220124166033842,0.03566310769417277,,0.03202724638459653,0.03652759324582062,,0.02842672595457199,,0.0298369452800806,,,,0.03350107192887178,,0.03331309425653076,0.03450787575056473,,0.028752924088053845,,,,,,,,,,,,,,,
834,0.06361251947422841,0.05111063853422222,0.04761452264395376,0.04344440506014657,0.04764142291800226,0.054600314287559674,0.05340284453521505,0.043729807346507346,0.04106706371735978,0.04720174750424167,0.049347641963652704,0.031473493874374966,0.0354198058754417,0.03005113892439374,,0.03518515027265967,0.032331429805933606,0.03566848195679251,,0.03186305325022608,0.036533097782347666,,0.02865723893193968,,0.029949613631092113,,,,0.03350612038286892,,0.03331811438317665,0.034513075925163186,,0.02875725701850007,,,,,,,,,,,,,,,
835,0.06378119798379038,0.05108535393668752,0.04759096758621264,0.043422912973008085,0.04761785455260892,0.05474850181447071,0.053542433940540445,0.04350998543945758,0.04104674770864213,0.04732551729689192,0.04947796145900717,0.031457923835564124,0.03540228358337096,0.030036272529158744,,0.03526864839310456,0.03144373121762178,0.035746774797144436,,0.03184729049513705,0.03664832389820784,,0.02864306210352137,,0.029934797460746777,,,,0.03358879640813242,,0.03340008567763606,0.03462166343156353,,0.028810911477772875,,,,,,,,,,,,,,,
836,0.06368610855255397,0.05101319723025926,0.04759909173927831,0.04383759847875673,0.047554016326186895,0.05462060956576219,0.053547998518281736,0.043421075593328785,0.04087503887195396,0.0473606176462397,0.049389894555985074,0.03163943212652757,0.03574726928288677,0.029737997488775522,,0.03528229444550325,0.031504437946745754,0.0357360534952787,,0.03209589583270634,0.036681352175994095,,0.02896623956981137,,0.029577203864684973,,,,0.033610013591867376,,0.033165303774746656,0.03463467762373957,,0.028716581702145437,,,,,,,,,,,,,,,
837,0.06391456035231623,0.05077653849261185,0.04737827160692442,0.04363422854154913,0.04733340530619884,0.05481558954868059,0.05373874538443412,0.04358681508945672,0.040685412743306074,0.047528679687053876,0.04956403224826611,0.03149265151928299,0.03558143173334749,0.029600037954224324,,0.03540764026315971,0.03145880299854013,0.035875191654596565,,0.031946997614130744,0.03681037492614436,,0.028831860349076747,,0.02943999027859741,,,,0.033728223157915085,,0.033282790829987564,0.03475567216237758,,0.028832055557821385,,,,,,,,,,,,,,,
838,0.06352186957408591,0.05008720662149228,0.04697237124445298,0.04329698565557915,0.04694219407596582,0.05519535470531892,0.054545481367349484,0.0439839940367673,0.040220572149634176,0.047006751036232315,0.0502696162262257,0.03121691783748319,0.03532394996279107,0.0292784781961942,,0.03591154192485712,0.03132117842115922,0.036423592014192985,,0.03168708857884154,0.03731869363590185,,0.02862690960157511,,0.0291419053162666,,,,0.03415963009968075,,0.0333861666631531,0.0349194653382428,,0.0292420857165564,,,,,,,,,,,,,,,
839,0.06395363543470821,0.0502231396602373,0.04709985084635151,0.04341449052809357,0.04706959177922217,0.055477841163296904,0.0548933299319107,0.044354826504778476,0.040329727859468,0.047445305851370634,0.05049710122771282,0.03130163828384327,0.035419816595865766,0.029357937858241524,,0.03616911539241114,0.03105795253550734,0.03693064342621527,,0.03177308503442459,0.03759811622698024,,0.028704600953808574,,0.02922099432944307,,,,0.034378781283754954,,0.03096039761189618,0.03269418316508505,,0.02967389651537276,,,,,,,,,,,,,,,
